"노선별(1)",2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30
"노선별(1)",1종대수 (대),2종대수 (대),3종대수 (대),4종대수 (대),5종대수 (대),6종대수 (대),1종통행료 (원),2종통행료 (원),3종통행료 (원),4종통행료 (원),5종통행료 (원),6종통행료 (원),1종대수 (대),2종대수 (대),3종대수 (대),4종대수 (대),5종대수 (대),6종대수 (대),1종통행료 (원),2종통행료 (원),3종통행료 (원),4종통행료 (원),5종통행료 (원),6종통행료 (원),1종대수 (대),2종대수 (대),3종대수 (대),4종대수 (대),5종대수 (대),6종대수 (대),1종통행료 (원),2종통행료 (원),3종통행료 (원),4종통행료 (원),5종통행료 (원),6종통행료 (원)
"남해제1지선",66695,2126,3582,1500,2015,4627,24128579,763252,1324176,573852,859512,890661,59511,1058,2492,775,1330,3708,22368331,389707,912152,314168,594478,735729,55097,395,1810,251,303,3364,20892234,151605,628539,105919,134025,666822
"남해제2지선",105998,3823,5415,4066,11557,7840,90620417,3217710,4703637,3542613,12871374,3579680,97915,2028,4031,2426,6416,6498,90440643,1645622,3685534,2009775,6887214,3119688,94018,726,2890,811,2265,5961,86727686,570237,2728157,682455,2473137,2844490
"남해제3지선",6282,608,849,2411,7236,493,0,0,0,0,0,0,5124,248,409,1068,3726,379,0,0,0,0,0,0,4519,63,83,261,1231,361,0,0,0,0,0,0
"제2경인선",76861,2359,2426,1356,2756,6056,58494350,1915350,1909790,1304550,2868400,2698450,71385,1247,1709,848,1993,4887,61444040,1095400,1502720,796250,2047300,2176950,54865,475,1163,251,434,3522,47084440,415050,1021550,228600,435000,1568410
"경인선",142194,4649,3175,2812,7177,12141,106833390,3710300,2436590,2575400,6689910,5328750,127981,2695,1996,1803,5768,9294,108264270,2342750,1723820,1608400,5329300,4078080,100515,1110,1122,658,2262,7273,85080990,963450,976670,577300,2053600,3192000
"서천공주선",29282,929,2270,1780,2456,1342,55568849,1692428,5055944,4527051,7198413,1306302,41927,612,1928,1126,1729,1656,85171722,1132007,4423940,2757698,5020036,1675828,39947,292,1626,508,552,1551,81961840,597997,3771235,1271028,1627449,1592965
"평택시흥선",35354,3155,5781,5271,9585,1902,0,0,0,0,0,0,40342,1265,3611,2591,5651,2011,0,0,0,0,0,0,35419,395,2295,662,1338,1691,0,0,0,0,0,0
"오산화성선",16001,350,299,219,155,913,12916370,203000,143600,70950,51000,370000,15907,231,182,219,129,699,13823740,165500,113500,116600,46200,313090,12574,107,93,88,50,529,10995390,75500,60700,75350,45600,234860
"호남선지선",195249,6801,15181,12939,16415,10200,174749408,6504232,17876373,17661876,24603531,4156416,216625,4109,11934,7230,10401,9766,214219786,3878514,15141731,9320320,15192213,4393938,190896,1941,8941,2733,3205,8348,188833650,1954017,11644516,3985203,5169545,3889797
"대전남부순환선",56964,2047,2262,1690,1692,3736,27784425,1028731,1203796,1020181,966951,989623,60046,1361,1479,1132,1336,3334,30111215,649512,775330,663244,726584,878788,51658,570,806,352,323,2765,24909971,277942,430053,211838,191465,703868
"상주영천선",24248,1014,2750,4212,6707,844,0,0,0,0,0,0,28145,485,1906,2139,4258,1051,0,0,0,0,0,0,30027,264,1400,832,1779,1145,0,0,0,0,0,0
"수도권제2순환선",48127,2223,3370,1897,1910,3142,0,0,0,0,0,0,46795,1101,2336,1022,1228,2536,0,0,0,0,0,0,40791,471,1602,295,391,2330,0,0,0,0,0,0
"중부내륙의지선",105736,4952,5817,4019,6024,5917,94320810,4712250,5838411,4463290,8057925,2770944,106546,2991,4240,2387,4244,5492,98936849,2765065,4195901,2583160,5482407,2656800,100105,1197,2474,920,957,4918,89193767,1094923,2282590,1019471,1263667,2278310
"중앙선지선",176522,10037,9807,9722,19595,11601,102363670,6504232,6319930,6694935,21165483,3622020,167568,5873,6790,4933,11029,10198,98076528,3618710,3967863,3106773,11427186,3229034,160609,2401,3920,1446,2777,9307,91604409,1364443,1951780,873832,2795384,2833995
"무안광주선",56790,1761,2025,1307,3078,2684,69461062,2123831,2708541,1785316,4619877,1662567,61060,1160,1512,884,1919,2631,82590761,1466041,2006735,1151950,2576071,1737138,57148,474,967,350,449,2377,74729913,581152,1290159,476636,670126,1518873
"순천완주선",36125,1347,2151,2151,6410,1466,74579245,2522049,5356893,8097683,32231700,1345887,43729,781,1664,1146,4551,1702,98076528,1391811,4515155,4049277,21731470,1675828,40970,363,1140,494,1486,1499,93211504,707489,3241939,1747664,8367005,1537396
"부산외곽순환선",116808,5059,5242,6653,17794,7254,119180558,5010914,5597652,7205025,22024995,3701190,116261,2627,3388,3119,10175,6676,127327423,2727950,3694218,3490756,12417983,3576461,114295,995,1821,931,2896,6269,124549854,1019121,2150266,1098910,3542096,3334112
